"x"
"E"
"E"
"S"
"E"
"E"
"E"
"S"
"C"
"E"
"S"
"S"
"E"
"S"
"S"
"S"
"S"
"S"
"CD"
"E"
"CD"
"E"
"S"
"S"
"E"
"E"
"E"
"E"
"S"
"E"
"E"
"S"
"S"
"E"
"E"
"S"
"S"
"S"
"S"
"S"
"S"
"S"
"E"
"E"
"S"
"S"
"S"
"S"
"S"
"S"
"CD"
"S"
"C"
"E"
"S"
"CD"
"C"
"E"
"S"
"C"
"S"
"E"
"S"
"CD"
"E"
"S"
"E"
"S"
"E"
"S"
"S"
"S"
"S"
"CD"
"S"
"S"
"CD"
"E"
"S"
"S"
"E"
"E"
"E"
"S"
"S"
"C"
"E"
"C"
"E"
"S"
"S"
"S"
"C"
"S"
"S"
"S"
"E"
"S"
"S"
"E"
"E"
"E"
"S"
"E"
"S"
"E"
"S"
"C"
"S"
"S"
"E"
"S"
"S"
"E"
"S"
"E"
"CD"
"E"
"E"
"E"
"E"
"S"
"S"
"C"
"S"
"CD"
"E"
"C"
"CD"
"C"
"S"
"S"
"E"
"S"
"E"
"S"
"S"
"S"
"S"
"E"
"S"
"CD"
"E"
"E"
"C"
"E"
"S"
"S"
"E"
"S"
"S"
"E"
"S"
"C"
"S"
"S"
"CD"
"CD"
"C"
"S"
"E"
"E"
"E"
"S"
"S"
"S"
"CD"
"S"
"CD"
"CD"
"S"
"S"
"E"
"S"
"C"
"S"
"E"
"E"
"C"
"C"
"S"
"S"
"E"
"E"
"S"
"S"
"E"
"S"
"S"
"S"
"CD"
"E"
"E"
"S"
"S"
"C"
"E"
"S"
"E"
"E"
"S"
"S"
"CD"
"CD"
"S"
"E"
"E"
"CD"
"S"
"S"
"S"
"S"
"S"
"E"
"S"
"C"
"CD"
"S"
"E"
"C"
"S"
"S"
"E"
"S"
"E"
"C"
"E"
"E"
"E"
"S"
"S"
"E"
"E"
"E"
"S"
"E"
"E"
"E"
"S"
"S"
"E"
"S"
"E"
"S"
"CD"
"E"
"CD"
"S"
"S"
"E"
"S"
"C"
"S"
"S"
"S"
"CD"
"S"
"S"
"S"
"S"
"E"
"S"
"E"
"S"
"E"
"CD"
"E"
"S"
"CD"
"S"
"S"
"S"
"S"
"E"
"S"
"S"
"S"
"S"
"E"
"S"
"S"
"E"
"S"
"S"
"C"
"S"
"E"
"S"
"S"
"S"
"E"
"S"
"S"
"E"
