"group"
"A"
"O"
"A"
"O"
"B"
"B"
"A"
"B"
"O"
"B"
"B"
"A"
"A"
"A"
"O"
"B"
"B"
"O"
"AB"
"O"
"AB"
"AB"
"B"
"B"
"AB"
"O"
"O"
"O"
"B"
"O"
"AB"
"O"
"B"
"B"
"O"
"AB"
"B"
"A"
"A"
"A"
"O"
"A"
"O"
"O"
"A"
"O"
"AB"
"A"
"AB"
"B"
"A"
"O"
"B"
"A"
"B"
"O"
"B"
"B"
"A"
"A"
"A"
"A"
"B"
"O"
"B"
"O"
"A"
"B"
"AB"
"O"
"AB"
"O"
"B"
"A"
"AB"
"O"
"O"
"O"
"O"
"AB"
"O"
"O"
"O"
"AB"
"O"
"A"
"O"
"AB"
"O"
"O"
"O"
"B"
"A"
"A"
"A"
"AB"
"A"
"AB"
"AB"
"A"
"B"
"A"
"B"
"B"
"B"
"B"
"A"
"O"
"B"
"B"
"A"
"AB"
"AB"
"O"
"AB"
"O"
"A"
"AB"
"B"
"O"
"O"
"O"
"AB"
"A"
"O"
"AB"
"O"
"B"
"A"
"A"
"B"
"A"
"B"
"A"
"O"
"AB"
"A"
"B"
"AB"
"A"
"O"
"A"
"A"
"B"
"A"
"AB"
"O"
"A"
"A"
"O"
"B"
"AB"
"O"
"O"
"O"
"B"
"B"
"A"
"B"
"AB"
"AB"
"AB"
"A"
"O"
"A"
"O"
"AB"
"AB"
"O"
"B"
"O"
"O"
"B"
"A"
"O"
"O"
"O"
"AB"
"B"
"O"
"AB"
"B"
"AB"
"A"
"O"
"B"
"O"
